,scientific_name,common_names,occurrence,nativeness,abundance,seasonality
13641,Dendroica pensylvanica,Chestnut-Sided Warbler,Present,Native,Unknown,No Data
13642,Dendroica petechia,Yellow Warbler,Present,Native,Unknown,No Data
13643,Dendroica pinus,Pine Warbler,Present,Native,Unknown,Vagrant
13644,Dendroica striata,Blackpoll Warbler,Present,Native,Unknown,Vagrant
13645,Dendroica tigrina,Cape May Warbler,Present,Native,Unknown,Vagrant
13646,Dendroica townsendi,Townsend's Warbler,Present,Native,Unknown,No Data
13647,Dendroica virens,Black-Throated Green Warbler,Present,Native,Unknown,No Data
13648,Geothlypis trichas,Common Yellowthroat,Present,Native,Unknown,No Data
13649,Helmitheros vermivorum,Worm-Eating Warbler,Present,Native,Unknown,Vagrant
13650,Icteria virens,Yellow-Breasted Chat,Present,Native,Unknown,Resident
13651,Limnothlypis swainsonii,Swainson's Warbler,Present,Native,Unknown,Vagrant
13652,Mniotilta varia,Black-And-White Warbler,Present,Native,Unknown,No Data
13653,Myioborus pictus,Painted Redstart,Present,Native,Unknown,No Data
13654,Oporornis agilis,Connecticut Warbler,Present,Native,Unknown,Vagrant
13655,Oporornis formosus,Kentucky Warbler,Present,Native,Unknown,Vagrant
13656,Oporornis tolmiei,Macgillivray's Warbler,Present,Native,Unknown,No Data
13657,Parula americana,Northern Parula,Present,Native,Unknown,Vagrant
13658,Parula pitiayumi,Tropical Parula,Present,Native,Unknown,Vagrant
13659,Protonotaria citrea,Prothonotary Warbler,Present,Native,Unknown,Vagrant
13660,Seiurus aurocapilla,Ovenbird,Present,Native,Unknown,Vagrant
13661,Seiurus motacilla,Louisiana Waterthrush,Present,Native,Unknown,Vagrant
13662,Seiurus noveboracensis,Northern Waterthrush,Present,Native,Unknown,No Data
13663,Setophaga ruticilla,American Redstart,Present,Native,Unknown,No Data
13664,Vermivora celata,Orange-Crowned Warbler,Present,Native,Unknown,No Data
13665,Vermivora chrysoptera,Golden-Winged Warbler,Present,Native,Unknown,Vagrant
13666,Vermivora luciae,Lucy's Warbler,Present,Native,Unknown,Vagrant
13667,Vermivora peregrina,Tennessee Warbler,Present,Native,Unknown,No Data
13668,Vermivora pinus,Blue-Winged Warbler,Present,Native,Unknown,Vagrant
13669,Vermivora ruficapilla,Nashville Warbler,Present,Native,Unknown,No Data
13670,Vermivora virginiae,Virginia's Warbler,Present,Native,Unknown,No Data
13671,Wilsonia canadensis,Canada Warbler,Present,Native,Unknown,Vagrant
13672,Wilsonia citrina,Hooded Warbler,Present,Native,Unknown,No Data
13673,Wilsonia pusilla,Wilson's Warbler,Present,Native,Unknown,No Data
13674,Passer domesticus,House Sparrow,Present,Not Native,Unknown,Breeder
13675,Polioptila caerulea,Blue-Gray Gnatcatcher,Present,Native,Unknown,No Data
13676,Polioptila melanura,Black-Tailed Gnatcatcher,Present,Native,Unknown,No Data
13677,Phainopepla nitens,Phainopepla,Present,Native,Unknown,Resident
13678,Regulus calendula,Ruby-Crowned Kinglet,Present,Native,Unknown,No Data
13679,Regulus satrapa,Golden-Crowned Kinglet,Present,Native,Unknown,No Data
13680,Auriparus flaviceps,Verdin,Present,Native,Unknown,Breeder
13681,Sitta canadensis,Red-Breasted Nuthatch,Present,Native,Unknown,No Data
13682,Sitta carolinensis,White-Breasted Nuthatch,Present,Native,Unknown,No Data
13683,Sitta pygmaea,Pygmy Nuthatch,Present,Native,Unknown,No Data
13684,Sturnus vulgaris,European Starling,Present,Not Native,Unknown,Breeder
13685,Campylorhynchus brunneicapillus,Cactus Wren,Present,Native,Unknown,Breeder
13686,Catherpes mexicanus,Canyon Wren,Present,Native,Unknown,Breeder
13687,Cistothorus palustris,Marsh Wren,Present,Native,Unknown,No Data
13688,Cistothorus platensis,Sedge Wren,Present,Native,Unknown,No Data
13689,Salpinctes obsoletus,Rock Wren,Present,Native,Unknown,Breeder
13690,Thryomanes bewickii,Bewick's Wren,Present,Native,Unknown,Resident
13691,Thryothorus ludovicianus,Carolina Wren,Present,Native,Unknown,No Data
13692,Troglodytes aedon,House Wren,Present,Native,Unknown,No Data
13693,Troglodytes troglodytes,Winter Wren,Present,Native,Unknown,No Data
13694,Catharus guttatus,Hermit Thrush,Present,Native,Unknown,Migratory
13695,Catharus minimus,Gray-Cheeked Thrush,Present,Native,Unknown,No Data
13696,Catharus ustulatus,Swainson's Thrush,Present,Native,Unknown,No Data
13697,Ixoreus naevius,Varied Thrush,Present,Native,Unknown,Vagrant
13698,Myadestes townsendi,Townsend's Solitaire,Present,Native,Unknown,No Data
13699,Sialia currucoides,Mountain Bluebird,Present,Native,Unknown,No Data
13700,Sialia mexicana,Western Bluebird,Present,Native,Unknown,No Data
13701,Sialia sialis,Eastern Bluebird,Present,Native,Unknown,No Data
13702,Turdus migratorius,American Robin,Present,Native,Unknown,No Data
13703,Camptostoma imberbe,Northern Beardless-Tyrannulet,Present,Native,Unknown,No Data
